"sp","lat","lon"
"Caulanthus_pilosus","37.7511","-118.7847"
"Caulanthus_pilosus","37.2227","-118.6091"
"Thelypodium_laciniatum","37.4272","-118.0266"
"Thelypodium_laciniatum","37.3284","-118.4983"
"Thelypodium_laciniatum","46.3333","-117.0333"
"Thelypodium_laciniatum","49.0667","-120.1833"
"Thelypodium_laciniatum","43.6333","-113.2833"
"Thelypodium_laciniatum","45.5364","-116.8273"
"Thelypodium_laciniatum","43.7703","-117.7366"
"Thelypodium_laciniatum","45.602","-121.1776"
"Thelypodium_laciniatum","45.5947","-121.1775"
"Thelypodium_laciniatum","45.9747","-118.9317"
"Thelypodium_laciniatum","45.7243","-116.7867"
"Thelypodium_laciniatum","44.7587","-119.6375"
"Thelypodium_laciniatum","44.2911","-121.5481"
"Thelypodium_laciniatum","43.9331","-120.5538"
"Thelypodium_laciniatum","43.0933","-118.7942"
"Thelypodium_laciniatum","43.6519","-117.2426"
"Thelypodium_laciniatum","45.8661","-116.8086"
"Thelypodium_laciniatum","42.5387","-117.1557"
"Thelypodium_laciniatum","42.5488","-117.161"
"Thelypodium_laciniatum","44.4151","-119.0715"
"Thelypodium_laciniatum","44.5833","-119.6433"
"Thelypodium_laciniatum","45.2475","-121.1719"
"Thelypodium_laciniatum","45.6758","-121.2686"
"Thelypodium_laciniatum","44.1429","-121.3374"
"Thelypodium_laciniatum","44.8344","-119.7933"
"Thelypodium_laciniatum","44.15","-121.3297"
"Thelypodium_laciniatum","45.603","-116.8322"
"Thelypodium_laciniatum","43.1374","-120.0008"
"Thelypodium_laciniatum","45.6002","-121.1756"
"Thelypodium_laciniatum","45.6528","-118.9258"
"Thelypodium_laciniatum","45.84","-119.8063"
"Thelypodium_laciniatum","42.4433","-117.3433"
"Thelypodium_laciniatum","43.2864","-117.1683"
"Thelypodium_laciniatum","45.6944","-120.3722"
"Thelypodium_laciniatum","44.5438","-121.2906"
"Thelypodium_laciniatum","43.9822","-117.4308"
"Thelypodium_laciniatum","44.5308","-119.6331"
"Thelypodium_laciniatum","44.6293","-120.2142"
"Thelypodium_laciniatum","44.9983","-120.215"
"Thelypodium_laciniatum","43.0809","-118.7502"
"Thelypodium_laciniatum","45.1817","-118.1912"
